glyph,description
i̤ə̤,LATIN SMALL LETTER I and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER SCHWA and COMBINING DIAERESIS BELOW
i̤ɛ̤,LATIN SMALL LETTER I and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER OPEN E and COMBINING DIAERESIS BELOW
i̤ː,long breathy unrounded close front vowel
i̤ˑ,half-long breathy unrounded close front vowel
i̥,voiceless unrounded close front vowel
ḭ,creaky unrounded close front vowel
ḭː,long creaky unrounded close front vowel
ḭˑ,half-long creaky unrounded close front vowel
ḭ̃,creaky nasalized unrounded close front vowel
i͓,LATIN SMALL LETTER I and COMBINING X BELOW
j,voiced palatal approximant consonant
ja,LATIN SMALL LETTER J and LATIN SMALL LETTER A
jai̯,LATIN SMALL LETTER J and LATIN SMALL LETTER A and LATIN SMALL LETTER I and COMBINING INVERTED BREVE BELOW
jau̯,LATIN SMALL LETTER J and LATIN SMALL LETTER A and LATIN SMALL LETTER U and COMBINING INVERTED BREVE BELOW
jãː,LATIN SMALL LETTER J and LATIN SMALL LETTER A and COMBINING TILDE and MODIFIER LETTER TRIANGULAR COLON
je,LATIN SMALL LETTER J and LATIN SMALL LETTER E
jeu̯,LATIN SMALL LETTER J and LATIN SMALL LETTER E and LATIN SMALL LETTER U and COMBINING INVERTED BREVE BELOW
jo,LATIN SMALL LETTER J and LATIN SMALL LETTER O
ju,LATIN SMALL LETTER J and LATIN SMALL LETTER U
jɔ,LATIN SMALL LETTER J and LATIN SMALL LETTER OPEN O
jɛ,LATIN SMALL LETTER J and LATIN SMALL LETTER OPEN E
jʔ,LATIN SMALL LETTER J and LATIN LETTER GLOTTAL STOP
jʱ,breathy palatal approximant consonant
jʷ,voiced labialized palatal approximant consonant
jˀ,voiced glottalized palatal approximant consonant
jː,long voiced palatal approximant consonant
jˤ,voiced pharyngealized palatal approximant consonant
j̃,voiced nasalized palatal approximant consonant
j̟,voiced advanced palatal approximant consonant
j̤,breathy palatal approximant consonant
j̥,voiceless palatal approximant consonant
j̥ʷ,voiceless labialized palatal approximant consonant
j̰,creaky palatal approximant consonant
k,voiceless velar stop consonant
kf,LATIN SMALL LETTER K and LATIN SMALL LETTER F
kl,LATIN SMALL LETTER K and LATIN SMALL LETTER L
km,LATIN SMALL LETTER K and LATIN SMALL LETTER M
kp,LATIN SMALL LETTER K and LATIN SMALL LETTER P
kpr,LATIN SMALL LETTER K and LATIN SMALL LETTER P and LATIN SMALL LETTER R
kpɾ,LATIN SMALL LETTER K and LATIN SMALL LETTER P and LATIN SMALL LETTER R WITH FISHHOOK
kpʰ,LATIN SMALL LETTER K and LATIN SMALL LETTER P and MODIFIER LETTER SMALL H
kpʲ,LATIN SMALL LETTER K and LATIN SMALL LETTER P and MODIFIER LETTER SMALL J
kpʷ,LATIN SMALL LETTER K and LATIN SMALL LETTER P and MODIFIER LETTER SMALL W
kpː,LATIN SMALL LETTER K and LATIN SMALL LETTER P and MODIFIER LETTER TRIANGULAR COLON
