glyph,description
ɴɢ,LATIN LETTER SMALL CAPITAL N and LATIN LETTER SMALL CAPITAL G
ɴɢǀqʰ,LATIN LETTER SMALL CAPITAL N and LATIN LETTER SMALL CAPITAL G and LATIN LETTER DENTAL CLICK and LATIN SMALL LETTER Q and MODIFIER LETTER SMALL H
ɴɢǁqʰ,LATIN LETTER SMALL CAPITAL N and LATIN LETTER SMALL CAPITAL G and LATIN LETTER LATERAL CLICK and LATIN SMALL LETTER Q and MODIFIER LETTER SMALL H
ɴɢǃqʰ,LATIN LETTER SMALL CAPITAL N and LATIN LETTER SMALL CAPITAL G and LATIN LETTER RETROFLEX CLICK and LATIN SMALL LETTER Q and MODIFIER LETTER SMALL H
ɴː,long voiced uvular nasal stop consonant
ɵ,voiced rounded close-mid central vowel
ɵː,long voiced rounded close-mid central vowel
ɵ̃,voiced nasalized rounded close-mid central vowel
ɵ̞,voiced lowered rounded close-mid central vowel
ɵ̞ː,long voiced lowered rounded close-mid central vowel
ɵ̞̆,extra-short voiced lowered rounded close-mid central vowel
ɵ̤,breathy rounded close-mid central vowel
ɵ̤ː,long breathy rounded close-mid central vowel
ɶ̝,voiced raised rounded open front vowel
ɸ,voiceless bilabial fricative consonant
ɸʰ,aspirated voiceless bilabial fricative consonant
ɸʲ,voiceless palatalized bilabial fricative consonant
ɸʷ,voiceless labialized bilabial fricative consonant
ɸʷˠ,voiceless labialized velarized bilabial fricative consonant
ɸʼ,LATIN SMALL LETTER PHI and MODIFIER LETTER APOSTROPHE
ɸː,long voiceless bilabial fricative consonant
ɸ̃,voiceless nasalized bilabial fricative consonant
ɸ̞,voiceless lowered bilabial fricative consonant
ɹ,voiced alveolar approximant consonant
ɹˤ,voiced pharyngealized alveolar approximant consonant
ɹ̝,voiced raised alveolar approximant consonant
ɹ̩,syllabic voiced alveolar approximant consonant
ɹ̪,voiced dental alveolar approximant consonant
ɹ̪̥,voiceless dental alveolar approximant consonant
ɹ̰ˤ,creaky pharyngealized alveolar approximant consonant
ɺ,voiced alveolar lateral flap consonant
ɺʲ,voiced palatalized alveolar lateral flap consonant
ɺː,long voiced alveolar lateral flap consonant
ɺ̠,voiced retracted alveolar lateral flap consonant
ɺ̠̰,creaky retracted alveolar lateral flap consonant
ɺ̥,voiceless alveolar lateral flap consonant
ɺ̪,voiced dental alveolar lateral flap consonant
ɻ,voiced retroflex approximant consonant
ɻʲ,voiced palatalized retroflex approximant consonant
ɻʷ,voiced labialized retroflex approximant consonant
ɻː,long voiced retroflex approximant consonant
ɽ,voiced retroflex flap consonant
ɽʱ,breathy retroflex flap consonant
ɽ̃,voiced nasalized retroflex flap consonant
ɽ̤,breathy retroflex flap consonant
ɽ̩,syllabic voiced retroflex flap consonant
ɾ,voiced alveolar flap consonant
ɾʱ,breathy alveolar flap consonant
ɾʲ,voiced palatalized alveolar flap consonant
ɾʲʷ,voiced palatalized labialized alveolar flap consonant
ɾʷ,voiced labialized alveolar flap consonant
ɾˀ,voiced glottalized alveolar flap consonant
ɾː,long voiced alveolar flap consonant
ɾˠ,voiced velarized alveolar flap consonant
ɾˤ,voiced pharyngealized alveolar flap consonant
ɾ̃,voiced nasalized alveolar flap consonant
ɾ̠,voiced retracted alveolar flap consonant
ɾ̤,breathy alveolar flap consonant
ɾ̥,voiceless alveolar flap consonant
ɾ̥ʲ,voiceless palatalized alveolar flap consonant
ɾ̥ˠ,voiceless velarized alveolar flap consonant
ɾ̪,voiced dental alveolar flap consonant
ɾ̪ʲ,voiced dental palatalized alveolar flap consonant
ɾ̪ˠ,voiced dental velarized alveolar flap consonant
ɾ̪̊,LATIN SMALL LETTER R WITH FISHHOOK and COMBINING BRIDGE BELOW and COMBINING RING ABOVE
ɾ̪̊ʰ,LATIN SMALL LETTER R WITH FISHHOOK and COMBINING BRIDGE BELOW and COMBINING RING ABOVE and MODIFIER LETTER SMALL H
ɾ̰,creaky alveolar flap consonant
ɾ͓,LATIN SMALL LETTER R WITH FISHHOOK and COMBINING X BELOW
ʀ,voiced uvular trill consonant
ʁ,voiced uvular fricative consonant
ʁʷ,voiced labialized uvular fricative consonant
ʁʷˤ,voiced labialized pharyngealized uvular fricative consonant
ʁː,long voiced uvular fricative consonant
ʁˤ,voiced pharyngealized uvular fricative consonant
ʁ̞,voiced lowered uvular fricative consonant
ʁ̞ʷ,voiced lowered labialized uvular fricative consonant
ʁ̞̰ʷ,creaky lowered labialized uvular fricative consonant
ʂ,voiceless retroflex sibilant fricative consonant
ʂʼ,voiceless retroflex ejective fricative consonant
ʂ͇,LATIN SMALL LETTER S WITH HOOK and COMBINING EQUALS SIGN BELOW
ʂ͉,lenis voiceless retroflex sibilant fricative consonant
ʃ,voiceless palato-alveolar sibilant fricative consonant
ʃt,LATIN SMALL LETTER ESH and LATIN SMALL LETTER T
ʃʰ,aspirated voiceless palato-alveolar sibilant fricative consonant
ʃʲ,voiceless palatalized palato-alveolar sibilant fricative consonant
ʃʷ,voiceless labialized palato-alveolar sibilant fricative consonant
ʃʷː,long voiceless labialized palato-alveolar sibilant fricative consonant
ʃʼ,voiceless palato-alveolar ejective fricative consonant
ʃˀ,voiceless glottalized palato-alveolar sibilant fricative consonant
ʃː,long voiceless palato-alveolar sibilant fricative consonant
ʃˠ,voiceless velarized palato-alveolar sibilant fricative consonant
ʃ̺,voiceless apical palato-alveolar sibilant fricative consonant
ʃ͇,LATIN SMALL LETTER ESH and COMBINING EQUALS SIGN BELOW
ʃ͈,fortis voiceless palato-alveolar sibilant fricative consonant
ʃ͈ʷ,fortis voiceless labialized palato-alveolar sibilant fricative consonant
ʃ͈ː,long fortis voiceless palato-alveolar sibilant fricative consonant
ʃ͉,lenis voiceless palato-alveolar sibilant fricative consonant
ʄ,voiced palatal implosive stop consonant
ʄ̥,voiceless palatal implosive stop consonant
ʈ,voiceless retroflex stop consonant
ʈr,LATIN SMALL LETTER T WITH RETROFLEX HOOK and LATIN SMALL LETTER R
ʈr̥̠,LATIN SMALL LETTER T WITH RETROFLEX HOOK and LATIN SMALL LETTER R and COMBINING RING BELOW and COMBINING MINUS SIGN BELOW
ʈɳ,LATIN SMALL LETTER T WITH RETROFLEX HOOK and LATIN SMALL LETTER N WITH RETROFLEX HOOK
ʈɹ̠̥,LATIN SMALL LETTER T WITH RETROFLEX HOOK and LATIN SMALL LETTER TURNED R and COMBINING MINUS SIGN BELOW and COMBINING RING BELOW
ʈɽ,LATIN SMALL LETTER T WITH RETROFLEX HOOK and LATIN SMALL LETTER R WITH TAIL
ʈʂ,voiceless retroflex sibilant affricate consonant
ʈʂʰ,aspirated voiceless retroflex sibilant affricate consonant
ʈʂʷ,voiceless labialized retroflex sibilant affricate consonant
ʈʂʼ,voiceless retroflex ejective affricate consonant
ʈʂ͇,LATIN SMALL LETTER T WITH RETROFLEX HOOK and LATIN SMALL LETTER S WITH HOOK and COMBINING EQUALS SIGN BELOW
ʈʰ,aspirated voiceless retroflex stop consonant
ʈʰː,aspirated long voiceless retroflex stop consonant
ʈʼ,voiceless retroflex ejective stop consonant
ʈˀ,voiceless glottalized retroflex stop consonant
ʈː,long voiceless retroflex stop consonant
ʈ͉,lenis voiceless retroflex stop consonant
ʉ,voiced rounded close central vowel
ʉi,LATIN SMALL LETTER U BAR and LATIN SMALL LETTER I
ʉː,long voiced rounded close central vowel
ʉ̃,voiced nasalized rounded close central vowel
ʉ̆,extra-short voiced rounded close central vowel
ʉ̞,voiced lowered rounded close central vowel
ʉ̟,voiced advanced rounded close central vowel
ʊ,voiced rounded near-close near-back vowel
ʊa,LATIN SMALL LETTER UPSILON and LATIN SMALL LETTER A
ʊe,LATIN SMALL LETTER UPSILON and LATIN SMALL LETTER E
ʊi,LATIN SMALL LETTER UPSILON and LATIN SMALL LETTER I
ʊu,LATIN SMALL LETTER UPSILON and LATIN SMALL LETTER U
ʊɔ,LATIN SMALL LETTER UPSILON and LATIN SMALL LETTER OPEN O
ʊɪ,LATIN SMALL LETTER UPSILON and LATIN LETTER SMALL CAPITAL I
ʊː,long voiced rounded near-close near-back vowel
ʊˤ,voiced pharyngealized rounded near-close near-back vowel
ʊ̃,voiced nasalized rounded near-close near-back vowel
ʊ̃ː,long voiced nasalized rounded near-close near-back vowel
ʊ̆,extra-short voiced rounded near-close near-back vowel
ʊ̈,voiced centralized rounded near-close near-back vowel
ʊ̈ː,long voiced centralized rounded near-close near-back vowel
ʊ̙,voiced retracted-tongue-root rounded near-close near-back vowel
ʊ̙ː,long voiced retracted-tongue-root rounded near-close near-back vowel
ʊ̤,breathy rounded near-close near-back vowel
ʊ̤ː,long breathy rounded near-close near-back vowel
ʊ̯,LATIN SMALL LETTER UPSILON and COMBINING INVERTED BREVE BELOW
ʋ,voiced labiodental approximant consonant
ʋː,long voiced labiodental approximant consonant
ʌ,voiced unrounded open-mid back vowel
ʌi,LATIN SMALL LETTER TURNED V and LATIN SMALL LETTER I
ʌə,LATIN SMALL LETTER TURNED V and LATIN SMALL LETTER SCHWA
ʌː,long voiced unrounded open-mid back vowel
ʌ̃,voiced nasalized unrounded open-mid back vowel
ʌ̃ː,long voiced nasalized unrounded open-mid back vowel
ʌ̤,breathy unrounded open-mid back vowel
ʌ̤ː,long breathy unrounded open-mid back vowel
ʌ̯,LATIN SMALL LETTER TURNED V and COMBINING INVERTED BREVE BELOW
ʍ,#NAME ERROR#
ʍʲ,#NAME ERROR#
ʎ,voiced palatal lateral approximant consonant
ʎʱ,breathy palatal lateral approximant consonant
ʎʼ,LATIN SMALL LETTER TURNED Y and MODIFIER LETTER APOSTROPHE
ʎ̟,voiced advanced palatal lateral approximant consonant
ʎ̥,voiceless palatal lateral approximant consonant
ʏ,voiced rounded near-close near-front vowel
ʐ,voiced retroflex sibilant fricative consonant
ʐʷ,voiced labialized retroflex sibilant fricative consonant
ʐ̰,creaky retroflex sibilant fricative consonant
ʐ͇,LATIN SMALL LETTER Z WITH RETROFLEX HOOK and COMBINING EQUALS SIGN BELOW
ʑ,voiced alveolo-palatal sibilant fricative consonant
ʑː,long voiced alveolo-palatal sibilant fricative consonant
ʑᶣ,voiced labio-palatalized alveolo-palatal sibilant fricative consonant
ʒ,voiced palato-alveolar sibilant fricative consonant
ʒʲ,voiced palatalized palato-alveolar sibilant fricative consonant
ʒʷ,voiced labialized palato-alveolar sibilant fricative consonant
ʒˀ,voiced glottalized palato-alveolar sibilant fricative consonant
ʒː,long voiced palato-alveolar sibilant fricative consonant
ʒˠ,voiced velarized palato-alveolar sibilant fricative consonant
ʒ̤,breathy palato-alveolar sibilant fricative consonant
ʒ̺,voiced apical palato-alveolar sibilant fricative consonant
ʒ͇,LATIN SMALL LETTER EZH and COMBINING EQUALS SIGN BELOW
ʒ͈ː,long fortis voiced palato-alveolar sibilant fricative consonant
ʔ,voiceless glottal stop consonant
ʔw,LATIN LETTER GLOTTAL STOP and LATIN SMALL LETTER W
ʔɾ,LATIN LETTER GLOTTAL STOP and LATIN SMALL LETTER R WITH FISHHOOK
ʔʲ,voiceless palatalized glottal stop consonant
ʔʲː,long voiceless palatalized glottal stop consonant
ʔʷ,voiceless labialized glottal stop consonant
ʔː,long voiceless glottal stop consonant
ʔˤ,voiceless pharyngealized glottal stop consonant
ʔ̬,stiff glottal stop consonant
ʕ,voiced pharyngeal fricative consonant
ʕʷ,voiced labialized pharyngeal fricative consonant
ʕʷʼ,LATIN LETTER PHARYNGEAL VOICED FRICATIVE and MODIFIER LETTER SMALL W and MODIFIER LETTER APOSTROPHE
ʕʼ,LATIN LETTER PHARYNGEAL VOICED FRICATIVE and MODIFIER LETTER APOSTROPHE
ʕː,long voiced pharyngeal fricative consonant
ʕ̝,voiced raised pharyngeal fricative consonant
ʕ̰,creaky pharyngeal fricative consonant
ʕ̰ʷ,creaky labialized pharyngeal fricative consonant
ʙ,voiced bilabial trill consonant
ʛ̥,voiceless uvular implosive stop consonant
ʝ,voiced palatal fricative consonant
ʝ̟,voiced advanced palatal fricative consonant
ʟ,voiced velar lateral approximant consonant
ʟ̥͓,LATIN LETTER SMALL CAPITAL L and COMBINING RING BELOW and COMBINING X BELOW
ʡ,voiced pharyngeal stop consonant
ʰb,pre-aspirated voiced bilabial stop consonant
ʰc,pre-aspirated voiceless palatal stop consonant
ʰd,pre-aspirated voiced alveolar stop consonant
ʰj,pre-aspirated voiced palatal approximant consonant
ʰk,pre-aspirated voiceless velar stop consonant
ʰkʷ,pre-aspirated voiceless labialized velar stop consonant
ʰn,pre-aspirated voiced alveolar nasal stop consonant
ʰp,pre-aspirated voiceless bilabial stop consonant
ʰq,pre-aspirated voiceless uvular stop consonant
ʰs̪,pre-aspirated voiceless dental alveolar sibilant fricative consonant
ʰt,pre-aspirated voiceless alveolar stop consonant
ʰts,pre-aspirated voiceless alveolar sibilant affricate consonant
ʰt̠ʃ,pre-aspirated voiceless retracted palatal sibilant affricate consonant
ʰw,#NAME ERROR#
ʰɟ,pre-aspirated voiced palatal stop consonant
ʰʃ,pre-aspirated voiceless palato-alveolar sibilant fricative consonant
ʱl,MODIFIER LETTER SMALL H WITH HOOK and LATIN SMALL LETTER L
ʱm,MODIFIER LETTER SMALL H WITH HOOK and LATIN SMALL LETTER M
ʱn̪,MODIFIER LETTER SMALL H WITH HOOK and LATIN SMALL LETTER N and COMBINING BRIDGE BELOW
ʱŋ,MODIFIER LETTER SMALL H WITH HOOK and LATIN SMALL LETTER ENG
ʱɾ,MODIFIER LETTER SMALL H WITH HOOK and LATIN SMALL LETTER R WITH FISHHOOK
ʱɾ̪,MODIFIER LETTER SMALL H WITH HOOK and LATIN SMALL LETTER R WITH FISHHOOK and COMBINING BRIDGE BELOW
ʼm,MODIFIER LETTER APOSTROPHE and LATIN SMALL LETTER M
ʼn,MODIFIER LETTER APOSTROPHE and LATIN SMALL LETTER N
ʼŋǀ,MODIFIER LETTER APOSTROPHE and LATIN SMALL LETTER ENG and LATIN LETTER DENTAL CLICK
ʼŋǃ,MODIFIER LETTER APOSTROPHE and LATIN SMALL LETTER ENG and LATIN LETTER RETROFLEX CLICK
ˀb,pre-glottalized voiced bilabial stop consonant
ˀb͉,pre-glottalized lenis voiced bilabial stop consonant
ˀc,pre-glottalized voiceless palatal stop consonant
ˀd,pre-glottalized voiced alveolar stop consonant
ˀd̠ʒ,MODIFIER LETTER GLOTTAL STOP and LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH
ˀd̪,pre-glottalized voiced dental alveolar stop consonant
ˀj,pre-glottalized voiced palatal approximant consonant
ˀj̥,pre-glottalized voiceless palatal approximant consonant
ˀj̰,pre-glottalized creaky palatal approximant consonant
ˀk,pre-glottalized voiceless velar stop consonant
ˀkp,MODIFIER LETTER GLOTTAL STOP and LATIN SMALL LETTER K and LATIN SMALL LETTER P
ˀkʷ,pre-glottalized voiceless labialized velar stop consonant
ˀl,pre-glottalized voiced alveolar lateral approximant consonant
ˀl̪̥,pre-glottalized voiceless dental alveolar lateral approximant consonant
ˀm,pre-glottalized voiced bilabial nasal stop consonant
ˀm̥,pre-glottalized voiceless bilabial nasal stop consonant
ˀn,pre-glottalized voiced alveolar nasal stop consonant
ˀn̪̥,pre-glottalized voiceless dental alveolar nasal stop consonant
ˀo̯,MODIFIER LETTER GLOTTAL STOP and LATIN SMALL LETTER O and COMBINING INVERTED BREVE BELOW
ˀp,pre-glottalized voiceless bilabial stop consonant
ˀq,pre-glottalized voiceless uvular stop consonant
ˀr,pre-glottalized voiced alveolar trill consonant
ˀs,pre-glottalized voiceless alveolar sibilant fricative consonant
ˀt,pre-glottalized voiceless alveolar stop consonant
ˀt̪,pre-glottalized voiceless dental alveolar stop consonant
ˀt̪s,MODIFIER LETTER GLOTTAL STOP and LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S
ˀt̪ɬ,MODIFIER LETTER GLOTTAL STOP and LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER L WITH BELT
ˀw,#NAME ERROR#
ˀw̥,#NAME ERROR#
ˀw̰,#NAME ERROR#
ˀy,pre-glottalized voiced rounded close front vowel
ˀŋ,pre-glottalized voiced velar nasal stop consonant
ˀɖ,pre-glottalized voiced retroflex stop consonant
ˀɗ,pre-glottalized voiced alveolar implosive stop consonant
ˀɟ,pre-glottalized voiced palatal stop consonant
ˀɡ,pre-glottalized voiced velar stop consonant
ˀɡb,pre-glottalized voiced labial-velar stop
ˀɡʷ,pre-glottalized voiced labialized velar stop consonant
ˀɲ,pre-glottalized voiced palatal nasal stop consonant
ˀʃʷ,pre-glottalized voiceless labialized palato-alveolar sibilant fricative consonant
ˀʍ,#NAME ERROR#
ˀʍʲ,#NAME ERROR#
˥,#NAME ERROR#
˥˦,#NAME ERROR#
˥˧,#NAME ERROR#
˥˧˥,#NAME ERROR#
˥˧̰,#NAME ERROR#
˥˨,#NAME ERROR#
˥˨˧,#NAME ERROR#
˥˩,#NAME ERROR#
˥̰,#NAME ERROR#
˦,#NAME ERROR#
˦ː,#NAME ERROR#
˦˥,#NAME ERROR#
˦˥˦,#NAME ERROR#
˦˥̰,#NAME ERROR#
˦˧,#NAME ERROR#
˦˨,#NAME ERROR#
˦˨˦,#NAME ERROR#
˦˩,#NAME ERROR#
˦↓˦,#NAME ERROR#
˧,#NAME ERROR#
˧˥,#NAME ERROR#
˧˥˨,#NAME ERROR#
˧˦,#NAME ERROR#
˧˦˧,#NAME ERROR#
˧˨,#NAME ERROR#
˧˨ˤ,#NAME ERROR#
˧˨˥,#NAME ERROR#
˧˨˧,#NAME ERROR#
˧˨̤,#NAME ERROR#
˧˩,#NAME ERROR#
˧˩̤,#NAME ERROR#
˧˩̰,#NAME ERROR#
˨,#NAME ERROR#
˨ː,#NAME ERROR#
˨˥,#NAME ERROR#
˨˥˩,#NAME ERROR#
˨˦,#NAME ERROR#
˨˦˧,#NAME ERROR#
˨˦˨,#NAME ERROR#
˨˧,#NAME ERROR#
˨˧˨,#NAME ERROR#
˨˧˩,#NAME ERROR#
˨˩,#NAME ERROR#
˨˩̤,#NAME ERROR#
˩,#NAME ERROR#
˩˥,#NAME ERROR#
˩˨,#NAME ERROR#
˩̰,#NAME ERROR#
β,voiced bilabial fricative consonant
βʲ,voiced palatalized bilabial fricative consonant
βʷ,voiced labialized bilabial fricative consonant
β̃,voiced nasalized bilabial fricative consonant
β̞,voiced lowered bilabial fricative consonant
β̞ʲ,voiced lowered palatalized bilabial fricative consonant
β̞ː,long voiced lowered bilabial fricative consonant
β̞ˠ,voiced lowered velarized bilabial fricative consonant
θ,voiceless dental fricative consonant
θ̰,creaky dental fricative consonant
χ,voiceless uvular fricative consonant
χʷ,voiceless labialized uvular fricative consonant
χʷʼ,GREEK SMALL LETTER CHI and MODIFIER LETTER SMALL W and MODIFIER LETTER APOSTROPHE
χʷː,long voiceless labialized uvular fricative consonant
χʷˤ,voiceless labialized pharyngealized uvular fricative consonant
χʷˤː,long voiceless labialized pharyngealized uvular fricative consonant
χʼ,voiceless uvular ejective fricative consonant
χː,long voiceless uvular fricative consonant
χˤ,voiceless pharyngealized uvular fricative consonant
χˤː,long voiceless pharyngealized uvular fricative consonant
χ͈,fortis voiceless uvular fricative consonant
χ͈ʷ,fortis voiceless labialized uvular fricative consonant
ᴅ,#NAME ERROR#
ᴅ̪,#NAME ERROR#
ᴅ̪̰,#NAME ERROR#
ᶑ,voiced retroflex implosive stop consonant
ᶑʼ,LATIN SMALL LETTER D WITH HOOK AND TAIL and MODIFIER LETTER APOSTROPHE
ᶑʼː,LATIN SMALL LETTER D WITH HOOK AND TAIL and MODIFIER LETTER APOSTROPHE and MODIFIER LETTER TRIANGULAR COLON
ᶑː,long voiced retroflex implosive stop consonant
↓,#NAME ERROR#
↓˦,#NAME ERROR#
↓˦˨,#NAME ERROR#
↓˦↓˦,#NAME ERROR#
ⱱ,voiced labiodental flap consonant
ⱱ̟,voiced advanced labiodental flap consonant
