ipa,occurences,consonant,vowel,mod_consonant,mod_vowel,click
ɹ̥,1,1,0,0,0,0
ɹ́,1,1,0,0,0,0
r̤,7,1,0,0,0,0
ˀr,9,1,0,0,0,0
ɾ,465,1,0,0,0,0
rᵚ,2,1,0,0,0,0
P,2,1,0,0,0,0
ɾ̤,2,1,0,0,0,0
R,1,1,0,0,0,0
ʁ,8,1,0,0,0,0
ṛʷ,1,1,0,0,0,0
ɹ̣,98,1,0,0,0,0
bɹ,1,1,0,0,0,0
ɹ̣̥,1,1,0,0,0,0
r̪,3,1,0,0,0,0
r̥,27,1,0,0,0,0
rʲ,4,1,0,0,0,0
rᶻ̌,3,1,0,0,0,0
ɾ̥,7,1,0,0,0,0
ṛ̥,2,1,0,0,0,0
ɾ̣̤,6,1,0,0,0,0
ˀɾ,4,1,0,0,0,0
